State/Region Name,District Name,Township Name,Total Population,% rural,% 0-14,% currently attending school/college,% 10yr and older in paid employment,% in institutions,percentile mean household,% HQ housing,% LQ housing,% households with access to safe sanitation,% households w/ electricity as source,% households w/ solar systems as source,% households w/ relatively efficient sources of lighting,% households w/ relatively poor sources of lighting,% cooking fuel electricity,% cooking fuel that costs natural resources,% cooking fuel that is fuel-based and requires transport,% availability to TV,% availibility to mobile phone,% availiability to radio,% availiability to computer,% availiability to Internet,% availiability to car/truck/van,% availability to 40wheel tractor,% availibility to motor boat
Kachin,Myitkyina,Myitkyina,317604,0.2238573821,0.2979874309,0.2219839801,0.6055424368,0.1062297704,0.7750776256,0.3109467399,0.6890532601,0.8360555989,0.5091555589,0.1148675629,0.1489038048,0.2270730733,0.07001197924,0.9189975471,0.004202239927,0.6807438535,0.5464623225,0.5400733966,0.07683824228,0.1155711053,0.06046661976,0.02009849594,0.7741818942
Kachin,Myitkyina,Waingmaw,125544,0.7876760339,0.3480851335,0.2449898044,0.5684308264,0.05414038106,0.7459181956,0.172615923,0.827384077,0.8105424322,0.1193350831,0.2408573928,0.207567804,0.43223972,0.01951006124,0.9766841645,0.002362204724,0.4611111111,0.2572178478,0.4396762905,0.02073490814,0.02296587927,0.0238407699,0.02764654418,0.6305336833
Kachin,Myitkyina,Injangyang,1732,0.7430715935,0.3516166282,0.1991916859,0.5181543116,0.1801385681,0.715464789,0.02456140351,0.9754385965,0.4561403509,0.1649122807,0.2245614035,0.02807017544,0.5824561404,0,1,0,0.2035087719,0.07719298246,0.4035087719,0.01052631579,0.00350877193,0.00350877193,0.00350877193,0.3684210526
Kachin,Myitkyina,Tanai,60019,0.3766140722,0.321614822,0.1884070044,0.6607930459,0.1872407071,0.8213878759,0.1108114447,0.8891885553,0.8778142589,0.1638133208,0.1893761726,0.2321763602,0.4146341463,0.002227954972,0.9962476548,0.000469043152,0.5166510319,0.2997185741,0.4122889306,0.02063789869,0.04795966229,0.01723733583,0.01547842402,0.6225375235
Kachin,Myitkyina,Chipwi,20039,0.8607714956,0.4136433954,0.1978641649,0.5279362243,0.0433654374,0.8326529872,0.07924984876,0.9207501512,0.4168179068,0.3378705384,0.00241984271,0.201754386,0.4579552329,0.03660012099,0.9582577132,0.003327283727,0.4328493648,0.2453115547,0.2144585602,0.01754385965,0.003024803388,0.06805807623,0.01603145796,0.5254083485
Kachin,Myitkyina,Tsawlaw,6518,0.9435409635,0.434949371,0.2358085302,0.4866928447,0.002915004603,0.8697443092,0.003727865797,0.9962721342,0.2432432432,0.1416589003,0.01025163094,0.5265610438,0.321528425,0.002795899348,0.9962721342,0.0009319664492,0.2357875116,0.03168685927,0.3634669152,0.007455731594,0.0009319664492,0.004659832246,0.006523765144,0.4603914259
Kachin,Mohnyin,Mohnyin,209292,0.7293637597,0.313385127,0.2271037593,0.5959439397,0.06760411291,0.7072311232,0.1500933825,0.8499066175,0.9424057342,0.2997577104,0.2102367372,0.2101862602,0.2798192923,0.04843268891,0.941244763,0.000555247085,0.6652112463,0.3994498006,0.5077734592,0.02599565898,0.0372520317,0.0248346878,0.0705920953,0.7241179143
Kachin,Mohnyin,Mogaung,132608,0.8113839286,0.3279440154,0.237300917,0.6087225634,0.04383596766,0.7312778957,0.1648325167,0.8351674833,0.9203952125,0.4344525665,0.1349907623,0.1420596032,0.288497068,0.0809301952,0.9134468632,0.0008434412403,0.6383243634,0.3621174392,0.4087476906,0.02385733794,0.04012370472,0.02482127078,0.05839826492,0.682464455
Kachin,Mohnyin,Hpakant,331708,0.8014609235,0.2124398567,0.1048542694,0.7810144611,0.4890144344,0.6644292276,0.05588010483,0.9441198952,0.8641897794,0.1459379777,0.1519709544,0.4890532867,0.2130377812,0.00750709762,0.9889986897,0.0007370604936,0.6668213584,0.4582605372,0.318956104,0.02754422363,0.02000982747,0.06688141516,0.01528718061,0.7499454029
Kachin,Bhamo,Bhamo,135877,0.5680210779,0.3043708648,0.1928288084,0.5985809897,0.1292639667,0.7031732518,0.1946939282,0.8053060718,0.90290137,0.4104548653,0.1731302512,0.06800215223,0.3484127313,0.1567815902,0.8394106204,0.0006208352303,0.6950457349,0.4064401308,0.5139274037,0.04188568354,0.0495840404,0.04354124415,0.1088531104,0.7695459625
Kachin,Bhamo,Shwegu,94784,0.7813766036,0.325276418,0.2034942606,0.5672808785,0.1073704423,0.730960531,0.09313519042,0.9068648096,0.7924914265,0.2148486854,0.2626797425,0.108296733,0.4141748391,0.03507610854,0.9637205944,0.0003008242585,0.5909993382,0.2403585825,0.3550929547,0.01504121292,0.02659286445,0.02749533722,0.04121292341,0.7243848144
Kachin,Bhamo,Momauk,62914,0.6662587024,0.3204533172,0.2148965254,0.5240294271,0.0677591633,0.6808485273,0.2153597413,0.7846402587,0.8635408246,0.2808407437,0.2827809216,0.07817299919,0.3582053355,0.06814874697,0.9254648343,0.004446240905,0.5972514147,0.2508488278,0.2999191593,0.02045270816,0.007518189167,0.04106709782,0.216087308,0.6990299111
