pcode_ts,const,pop_hh_rate,hh_m_rate,hh_f_rate,pop_r_rate,pop_u_rate,govemp_rate,priemp_rate,empyr_rate,ownacc_rate,unpfam_rate,seekw_rate,stu_rate,hhwork_rate,retir_rate,ill_rate,ownshp_own_rate,ownshp_rent_rate,housing_apt,housing_bung,housing_wood,housing_bamb,light_elec_rate,light_substitute_rate
MMR001001,1,0.00592,0.12718,0.05809,0.25046,0.86839,0.05301,0.14173,0.01602,0.20323,0.0377,0.02813,0.22305,0.19156,0.0525,0.00766,0.67204,0.19321,0.0,0.0,1e-05,0.35432,0.09433,0.06966
MMR001002,1,0.00248,0.13503,0.05748,0.83276,0.22448,0.02222,0.09445,0.01218,0.26867,0.10834,0.02726,0.20933,0.17091,0.04662,0.00783,0.86203,0.05682,0.0,0.0,1e-05,0.61142,0.02297,0.12317
MMR001003,1,3e-05,0.16338,0.03732,0.90634,0.31338,0.06051,0.16415,0.02496,0.23071,0.24357,0.00151,0.19818,0.03782,0.02269,0.00303,0.96491,0.00702,4e-05,0.0,0.00018,0.90526,0.0331,0.12254
MMR001004,1,0.00102,0.14452,0.0303,0.46338,0.767,0.03047,0.10975,0.01888,0.3506,0.10215,0.0146,0.1737,0.15109,0.02835,0.00426,0.8886,0.04726,0.0,0.0,4e-05,0.54151,0.02864,0.11308
MMR001005,1,0.0004,0.13938,0.03307,0.89979,0.14554,0.06577,0.04151,0.00969,0.26019,0.15456,0.04941,0.18164,0.15078,0.0323,0.00866,0.9144,0.0493,1e-05,1e-05,0.00021,0.21416,0.05827,0.11377
MMR001006,1,0.00014,0.13771,0.02739,0.9463,0.05662,0.02618,0.02225,0.00327,0.33944,0.22688,0.0144,0.2127,0.09555,0.02247,0.00698,0.9767,0.0028,0.0,0.0,0.00049,0.44828,0.02339,0.14002
MMR001007,1,0.00407,0.14057,0.06247,0.78225,0.29026,0.03675,0.11808,0.02149,0.23463,0.09192,0.023,0.1935,0.18499,0.05848,0.00552,0.8966,0.04253,0.0,0.0,1e-05,0.37802,0.06086,0.09949
MMR001008,1,0.00265,0.13889,0.05747,0.84858,0.19726,0.04044,0.09948,0.01976,0.23921,0.08164,0.02449,0.19867,0.20983,0.05609,0.00603,0.88802,0.04101,0.0,0.0,2e-05,0.41104,0.08531,0.08455
MMR001009,1,0.00354,0.18332,0.0328,1.56846,0.38854,0.00937,0.31862,0.02779,0.2797,0.04337,0.01454,0.10866,0.14553,0.01829,0.00225,0.81819,0.12421,0.0,0.0,1e-05,0.37718,0.03154,0.15174
MMR001010,1,0.00247,0.14364,0.06057,0.65235,0.49611,0.0475,0.10747,0.01336,0.28932,0.10213,0.01735,0.18039,0.14094,0.05767,0.0069,0.83958,0.06966,0.0,0.0,2e-05,0.36426,0.08382,0.08504
MMR001011,1,0.00177,0.13666,0.05979,0.87536,0.24492,0.02599,0.12606,0.02227,0.25618,0.16863,0.01581,0.16909,0.13678,0.05302,0.00602,0.91643,0.02599,0.0,0.0,3e-05,0.31761,0.04221,0.10264
MMR001012,1,0.00122,0.14389,0.06702,0.71469,0.358,0.04518,0.08478,0.05204,0.22512,0.18544,0.01575,0.18124,0.11691,0.05911,0.00956,0.85182,0.0401,0.0,1e-05,2e-05,0.49111,0.05923,0.09204
MMR001013,1,0.00107,0.13977,0.06637,0.87501,0.15911,0.02582,0.05923,0.01691,0.4063,0.10058,0.02978,0.17782,0.10739,0.04712,0.00664,0.86631,0.02426,0.0,1e-05,4e-05,0.40885,0.05166,0.11502
MMR001014,1,0.00122,0.14442,0.03878,0.76901,0.27246,0.04223,0.1039,0.00385,0.18799,0.119,0.01981,0.25034,0.19974,0.04571,0.00996,0.90915,0.03211,0.0,0.0,4e-05,0.53933,0.01675,0.12375
MMR001015,1,5e-05,0.15925,0.03992,0.58586,0.47277,0.08254,0.06519,0.00736,0.34963,0.04469,0.01314,0.24132,0.14669,0.0326,0.00526,0.93319,0.01879,3e-05,0.0,0.00027,0.84969,0.0499,0.12557
MMR001016,1,0.00017,0.14462,0.06118,0.78331,0.27715,0.08723,0.04712,0.00606,0.29342,0.14104,0.01337,0.21956,0.12813,0.03608,0.01586,0.87958,0.03083,2e-05,0.0,0.00019,0.62769,0.03568,0.13181
MMR001018,1,0.00024,0.12909,0.01796,0.96304,0.03868,0.01306,0.00632,0.00811,0.20887,0.18022,0.01243,0.2964,0.21982,0.04066,0.00179,0.99123,0.0,0.0,0.0,0.0001,0.83226,0.01255,0.13434
MMR001017,1,0.00015,0.14178,0.03075,0.69566,0.31829,0.07697,0.04295,0.00097,0.19261,0.124,0.09446,0.26803,0.14519,0.03304,0.01224,0.94637,0.0132,0.0,0.0,0.00021,0.75,0.02548,0.12413
MMR002001,1,0.00255,0.16461,0.05217,0.63042,0.42013,0.07037,0.13054,0.01882,0.25012,0.09941,0.01824,0.18615,0.14123,0.04986,0.00708,0.78671,0.08243,0.0,1e-05,2e-05,0.23136,0.14665,0.04395
MMR002002,1,0.00163,0.15278,0.04381,0.94251,0.072,0.03222,0.06951,0.01054,0.28548,0.19331,0.0219,0.18629,0.13309,0.04173,0.00873,0.95497,0.01062,0.0,1e-05,3e-05,0.20356,0.07656,0.06672
MMR002003,1,0.00059,0.15979,0.04891,0.88756,0.14973,0.05182,0.03906,0.00566,0.34813,0.26852,0.01235,0.17301,0.05257,0.02975,0.00514,0.93638,0.00728,1e-05,2e-05,7e-05,0.39865,0.04368,0.13242
MMR002004,1,0.00014,0.17695,0.03771,0.78916,0.24015,0.05196,0.02289,0.00577,0.49214,0.18953,0.01015,0.14095,0.04141,0.02946,0.00816,0.96444,0.0064,0.0,0.0,0.00022,0.67568,0.05115,0.0
MMR002005,1,0.00019,0.1756,0.05208,0.60416,0.59891,0.15489,0.12209,0.00899,0.31068,0.08828,0.00786,0.13254,0.12749,0.02954,0.00584,0.79481,0.0495,6e-05,1e-05,0.00027,0.2321,0.10295,0.10919
MMR002006,1,0.00048,0.16873,0.03865,0.98348,0.13793,0.04446,0.24087,0.02286,0.23885,0.08594,0.00843,0.15018,0.15583,0.03114,0.00399,0.89584,0.02704,0.0,0.0,6e-05,0.53138,0.05302,0.10533
MMR002007,1,0.00012,0.19757,0.03459,0.94615,0.18063,0.10514,0.13086,0.00664,0.24513,0.17234,0.01389,0.14455,0.13086,0.02281,0.00373,0.85714,0.00845,5e-05,1e-05,0.0005,0.23963,0.03691,0.15014
MMR003001,1,0.00847,0.15834,0.06143,0.85361,0.18515,0.03488,0.09867,0.01408,0.20304,0.07157,0.04075,0.17182,0.21082,0.05981,0.01006,0.86997,0.05997,0.0,0.0,1e-05,0.13736,0.08386,0.12684
MMR003002,1,0.00541,0.14285,0.06198,0.96307,0.06214,0.01791,0.07707,0.01088,0.182,0.09123,0.06441,0.14457,0.23739,0.0628,0.01031,0.95552,0.0115,0.0,0.0,1e-05,0.15147,0.01727,0.1718
MMR003004,1,0.00197,0.1727,0.03015,0.79384,0.22413,0.03798,0.04142,0.00689,0.32157,0.11336,0.02703,0.18072,0.19683,0.03641,0.00769,0.9384,0.01061,0.0,0.0,2e-05,0.39859,0.03782,0.12283
MMR003003,1,0.00068,0.1217,0.07702,0.54296,0.52936,0.08534,0.13939,0.00728,0.14857,0.05566,0.04816,0.20386,0.21293,0.04222,0.0087,0.81436,0.03214,1e-05,0.0,9e-05,0.26423,0.02063,0.15517
MMR003005,1,0.0042,0.17952,0.0392,0.46689,0.57929,0.02704,0.19428,0.01913,0.20649,0.06658,0.02834,0.13098,0.22458,0.03445,0.00609,0.62077,0.3001,0.0,0.0,1e-05,0.14958,0.13068,0.08422
MMR003006,1,0.00446,0.13964,0.07303,0.82917,0.20076,0.02726,0.07206,0.01709,0.23154,0.10502,0.04067,0.15835,0.20187,0.06066,0.01271,0.928,0.02413,0.0,0.0,1e-05,0.09433,0.03032,0.17077
MMR003007,1,0.00515,0.16725,0.03764,0.87087,0.16171,0.01468,0.11763,0.01341,0.26582,0.15808,0.02511,0.1421,0.16783,0.0415,0.00912,0.89569,0.06267,0.0,0.0,1e-05,0.19463,0.02943,0.16616
MMR004002,1,0.00097,0.16239,0.0508,0.50358,0.53582,0.08523,0.05967,0.00699,0.14371,0.11111,0.02523,0.23031,0.21725,0.05789,0.01868,0.73248,0.15549,0.0,0.0,9e-05,0.01341,0.03829,0.15222
MMR004003,1,0.00104,0.16136,0.03448,0.85661,0.15189,0.03178,0.02385,0.0017,0.18807,0.2531,0.01195,0.24461,0.14402,0.05437,0.01883,0.91024,0.05755,0.0,0.0,9e-05,0.0644,0.04869,0.11486
MMR004001,1,0.00097,0.15043,0.05708,0.76274,0.2737,0.06051,0.06366,0.00476,0.1902,0.25568,0.02544,0.24302,0.07889,0.04021,0.0159,0.80854,0.08415,0.0,0.0,9e-05,0.03927,0.06995,0.09692
MMR004004,1,0.00181,0.12365,0.0454,0.85396,0.15488,0.03279,0.02352,0.00312,0.09145,0.28986,0.0523,0.24256,0.16889,0.04392,0.01362,0.89484,0.06014,0.0,0.0,6e-05,0.06286,0.03185,0.10393
MMR004005,1,0.00065,0.12603,0.0317,0.85074,0.16685,0.03837,0.01672,0.00121,0.14329,0.31067,0.02813,0.24871,0.11795,0.05783,0.01258,0.90852,0.04048,0.0,0.0,0.00015,0.21716,0.01976,0.10052
MMR004006,1,0.00087,0.14807,0.05698,0.74818,0.27682,0.05622,0.03963,0.00283,0.21188,0.21087,0.02035,0.27432,0.09245,0.05151,0.01292,0.88289,0.046,0.0,0.0,7e-05,0.36611,0.00849,0.17386
MMR004007,1,0.00105,0.15325,0.0478,0.80166,0.21479,0.05133,0.05369,0.00764,0.12447,0.21879,0.02866,0.27659,0.15157,0.05475,0.01088,0.92291,0.03535,0.0,0.0,8e-05,0.17643,0.0274,0.14669
MMR004008,1,0.00043,0.15102,0.04087,0.83634,0.20067,0.05714,0.05423,0.00392,0.14532,0.17731,0.02211,0.27996,0.18123,0.04429,0.00994,0.8783,0.05582,0.0,0.0,0.0001,0.57154,0.02326,0.14682
MMR004009,1,0.00199,0.1678,0.03707,0.92003,0.09874,0.02587,0.02448,0.00817,0.29769,0.21086,0.01744,0.23113,0.12474,0.03618,0.00821,0.96239,0.01107,0.0,0.0,1e-05,0.7791,0.01062,0.1597
MMR005001,1,0.00585,0.17752,0.05475,0.80497,0.29035,0.04233,0.15326,0.02099,0.29446,0.07208,0.01584,0.13921,0.15968,0.07021,0.00605,0.86998,0.04214,0.0,0.0,1e-05,0.36117,0.13066,0.09398
MMR005002,1,0.00218,0.18753,0.05433,0.86433,0.15826,0.02154,0.05487,0.01156,0.26833,0.1047,0.09757,0.11178,0.21269,0.07505,0.00761,0.95767,0.01363,0.0,0.0,1e-05,0.65092,0.06576,0.15507
MMR005003,1,0.00214,0.1765,0.06045,0.96313,0.07613,0.02477,0.16987,0.01952,0.23548,0.12386,0.02507,0.12016,0.16592,0.06895,0.00857,0.95355,0.00915,0.0,0.0,2e-05,0.36048,0.02384,0.1888
MMR005004,1,0.00537,0.16675,0.05571,0.72632,0.3096,0.02977,0.23668,0.02877,0.24003,0.06641,0.01878,0.12476,0.14393,0.07339,0.00732,0.89485,0.03482,0.0,0.0,1e-05,0.4383,0.09998,0.11264
MMR005005,1,0.00299,0.17916,0.04819,0.94164,0.07898,0.01429,0.13843,0.0154,0.27773,0.19207,0.01041,0.13092,0.1276,0.0674,0.00718,0.97054,0.00635,0.0,0.0,1e-05,0.57065,0.0273,0.16886
MMR005006,1,0.00402,0.18993,0.05253,0.96234,0.05613,0.0152,0.1515,0.02534,0.28931,0.14632,0.01443,0.11383,0.14256,0.07176,0.00833,0.96999,0.00698,0.0,0.0,1e-05,0.57829,0.0278,0.19004
MMR005007,1,0.00605,0.1702,0.04111,0.9322,0.08622,0.01755,0.08954,0.01724,0.32285,0.20427,0.01307,0.1463,0.1065,0.05388,0.0048,0.9555,0.01371,0.0,0.0,1e-05,0.46833,0.04098,0.14353
MMR005008,1,0.0021,0.16706,0.03981,0.91161,0.12045,0.0184,0.11315,0.02058,0.31498,0.17217,0.01667,0.13247,0.12893,0.05885,0.00543,0.97023,0.01256,0.0,0.0,3e-05,0.30274,0.05701,0.13301
MMR005009,1,0.00236,0.1519,0.08137,0.86533,0.18095,0.0202,0.1143,0.02177,0.27407,0.1374,0.02328,0.1533,0.1419,0.08434,0.00959,0.9603,0.01395,0.0,0.0,2e-05,0.32723,0.03826,0.16771
MMR005010,1,0.00287,0.16542,0.05509,0.99196,0.03131,0.01505,0.13529,0.04892,0.23458,0.15187,0.01855,0.14042,0.15488,0.07232,0.00928,0.97749,0.00751,0.0,0.0,1e-05,0.54856,0.01916,0.18205
MMR005011,1,0.00339,0.15024,0.07116,0.92875,0.08848,0.01501,0.05474,0.06385,0.21913,0.20268,0.03113,0.1571,0.15724,0.07191,0.00827,0.9793,0.00921,0.0,0.0,2e-05,0.10891,0.02975,0.16215
MMR005012,1,0.00729,0.16048,0.05679,0.47081,0.59347,0.04392,0.22054,0.02959,0.21909,0.05298,0.02182,0.13672,0.15867,0.06539,0.00697,0.84821,0.05554,0.0,0.0,0.0,0.50075,0.14617,0.06478
MMR005013,1,0.00249,0.16611,0.07337,0.99027,0.0436,0.02035,0.17023,0.02715,0.25705,0.11282,0.01872,0.13921,0.14106,0.08317,0.01051,0.97466,0.00793,0.0,0.0,1e-05,0.5274,0.04107,0.17728
MMR005014,1,0.00318,0.18204,0.05113,0.95815,0.06234,0.01677,0.16127,0.01551,0.23865,0.07888,0.02492,0.1179,0.2308,0.07901,0.00906,0.96297,0.00829,0.0,0.0,0.0,0.61232,0.02064,0.18446
