"","pcode_st","name_st","pcode_dt","name_dt","pcode_ts","name_ts","mean_hhsize"
"1","MMR001","Kachin","MMR001D001","Myitkyina","MMR001001","Myitkyina",5
"2","MMR001","Kachin","MMR001D001","Myitkyina","MMR001002","Waingmaw",5
"3","MMR001","Kachin","MMR001D001","Myitkyina","MMR001003","Injangyang",5
"4","MMR001","Kachin","MMR001D001","Myitkyina","MMR001004","Tanai",6
"5","MMR001","Kachin","MMR001D001","Myitkyina","MMR001005","Chipwi",6
"6","MMR001","Kachin","MMR001D001","Myitkyina","MMR001006","Tsawlaw",6
"7","MMR001","Kachin","MMR001D002","Mohnyin","MMR001007","Mohnyin",5
"8","MMR001","Kachin","MMR001D002","Mohnyin","MMR001008","Mogaung",5
"9","MMR001","Kachin","MMR001D002","Mohnyin","MMR001009","Hpakant",5
"10","MMR001","Kachin","MMR001D003","Bhamo","MMR001010","Bhamo",5
"11","MMR001","Kachin","MMR001D003","Bhamo","MMR001011","Shwegu",5
"12","MMR001","Kachin","MMR001D003","Bhamo","MMR001012","Momauk",5
"13","MMR001","Kachin","MMR001D003","Bhamo","MMR001013","Mansi",5
"14","MMR001","Kachin","MMR001D004","Puta-O","MMR001014","Puta-O",6
"15","MMR001","Kachin","MMR001D004","Puta-O","MMR001015","Sumprabum",5
"16","MMR001","Kachin","MMR001D004","Puta-O","MMR001016","Machanbaw",5
"17","MMR001","Kachin","MMR001D004","Puta-O","MMR001018","Khaunglanhpu",7
"18","MMR001","Kachin","MMR001D004","Puta-O","MMR001017","Nawngmun",6
"19","MMR002","Kayah","MMR002D001","Loikaw","MMR002001","Loikaw",5
"20","MMR002","Kayah","MMR002D001","Loikaw","MMR002002","Demoso",5
"21","MMR002","Kayah","MMR002D001","Loikaw","MMR002003","Hpruso",5
"22","MMR002","Kayah","MMR002D001","Loikaw","MMR002004","Shadaw",5
"23","MMR002","Kayah","MMR002D002","Bawlake","MMR002005","Bawlakhe",4
"24","MMR002","Kayah","MMR002D002","Bawlake","MMR002006","Hpasawng",5
"25","MMR002","Kayah","MMR002D002","Bawlake","MMR002007","Mese",4
"26","MMR003","Kayin","MMR003D001","Hpa-An","MMR003001","Hpa-An",5
"27","MMR003","Kayin","MMR003D001","Hpa-An","MMR003002","Hlaingbwe",5
"28","MMR003","Kayin","MMR003D001","Hpa-An","MMR003004","Thandaunggyi",5
"29","MMR003","Kayin","MMR003D004","Hpapun","MMR003003","Hpapun",5
"30","MMR003","Kayin","MMR003D002","Myawaddy","MMR003005","Myawaddy",5
"31","MMR003","Kayin","MMR003D003","Kawkareik","MMR003006","Kawkareik",5
"32","MMR003","Kayin","MMR003D003","Kawkareik","MMR003007","Kyainseikgyi",5
"33","MMR004","Chin","MMR004D003","Hakha","MMR004002","Hakha",5
"34","MMR004","Chin","MMR004D003","Hakha","MMR004003","Thantlang",5
"35","MMR004","Chin","MMR004D001","Falam","MMR004001","Falam",5
"36","MMR004","Chin","MMR004D001","Falam","MMR004004","Tedim",6
"37","MMR004","Chin","MMR004D001","Falam","MMR004005","Tonzang",6
"38","MMR004","Chin","MMR004D002","Mindat","MMR004006","Mindat",5
"39","MMR004","Chin","MMR004D002","Mindat","MMR004007","Matupi",5
"40","MMR004","Chin","MMR004D002","Mindat","MMR004008","Kanpetlet",5
"41","MMR004","Chin","MMR004D002","Mindat","MMR004009","Paletwa",5
"42","MMR005","Sagaing","MMR005D001","Sagaing","MMR005001","Sagaing",4
"43","MMR005","Sagaing","MMR005D001","Sagaing","MMR005002","Myinmu",4
"44","MMR005","Sagaing","MMR005D001","Sagaing","MMR005003","Myaung",4
"45","MMR005","Sagaing","MMR005D002","Shwebo","MMR005004","Shwebo",5
"46","MMR005","Sagaing","MMR005D002","Shwebo","MMR005005","Khin-U",4
"47","MMR005","Sagaing","MMR005D002","Shwebo","MMR005006","Wetlet",4
"48","MMR005","Sagaing","MMR005D002","Shwebo","MMR005007","Kanbalu",5
"49","MMR005","Sagaing","MMR005D002","Shwebo","MMR005008","Kyunhla",5
"50","MMR005","Sagaing","MMR005D002","Shwebo","MMR005009","Ye-U",4
"51","MMR005","Sagaing","MMR005D002","Shwebo","MMR005010","Tabayin",5
"52","MMR005","Sagaing","MMR005D002","Shwebo","MMR005011","Taze",5
"53","MMR005","Sagaing","MMR005D003","Monywa","MMR005012","Monywa",5
"54","MMR005","Sagaing","MMR005D003","Monywa","MMR005013","Budalin",4
"55","MMR005","Sagaing","MMR005D003","Monywa","MMR005014","Ayadaw",4
"56","MMR005","Sagaing","MMR005D003","Monywa","MMR005015","Chaung-U",4
"57","MMR005","Sagaing","MMR005D004","Katha","MMR005020","Katha",5
"58","MMR005","Sagaing","MMR005D004","Katha","MMR005021","Indaw",5
"59","MMR005","Sagaing","MMR005D004","Katha","MMR005022","Tigyaing",5
"60","MMR005","Sagaing","MMR005D004","Katha","MMR005023","Banmauk",5
"61","MMR005","Sagaing","MMR005D004","Katha","MMR005024","Kawlin",5
"62","MMR005","Sagaing","MMR005D004","Katha","MMR005025","Wuntho",5
"63","MMR005","Sagaing","MMR005D004","Katha","MMR005026","Pinlebu",5
"64","MMR005","Sagaing","MMR005D005","Kale","MMR005027","Kale",5
"65","MMR005","Sagaing","MMR005D005","Kale","MMR005028","Kalewa",5
"66","MMR005","Sagaing","MMR005D005","Kale","MMR005029","Mingin",5
"67","MMR005","Sagaing","MMR005D006","Tamu","MMR005030","Tamu",5
"68","MMR005","Sagaing","MMR005D007","Mawlaik","MMR005031","Mawlaik",5
"69","MMR005","Sagaing","MMR005D007","Mawlaik","MMR005032","Paungbyin",6
"70","MMR005","Sagaing","MMR005D008","Hkamti","MMR005033","Hkamti",5
"71","MMR005","Sagaing","MMR005D008","Hkamti","MMR005034","Homalin",6
"72","MMR005","Sagaing","MMR005D008","Hkamti","MMR005035","Lay Shi",5
"73","MMR005","Sagaing","MMR005D008","Hkamti","MMR005036","Lahe",6
"74","MMR005","Sagaing","MMR005D008","Hkamti","MMR005037","Nanyun",6
"75","MMR005","Sagaing","MMR005D009","Yinmabin","MMR005016","Yinmabin",5
"76","MMR005","Sagaing","MMR005D009","Yinmabin","MMR005018","Salingyi",4
"77","MMR005","Sagaing","MMR005D009","Yinmabin","MMR005019","Pale",4
"78","MMR005","Sagaing","MMR005D009","Yinmabin","MMR005017","Kani",5
"79","MMR006","Tanintharyi","MMR006D001","Dawei","MMR006001","Dawei",5
"80","MMR006","Tanintharyi","MMR006D001","Dawei","MMR006002","Launglon",5
"81","MMR006","Tanintharyi","MMR006D001","Dawei","MMR006003","Thayetchaung",5
"82","MMR006","Tanintharyi","MMR006D001","Dawei","MMR006004","Yebyu",4
"83","MMR006","Tanintharyi","MMR006D002","Myeik","MMR006005","Myeik",5
"84","MMR006","Tanintharyi","MMR006D002","Myeik","MMR006006","Kyunsu",5
"85","MMR006","Tanintharyi","MMR006D002","Myeik","MMR006007","Palaw",5
"86","MMR006","Tanintharyi","MMR006D002","Myeik","MMR006008","Tanintharyi",5
"87","MMR006","Tanintharyi","MMR006D003","Kawthoung","MMR006009","Kawthoung",4
"88","MMR006","Tanintharyi","MMR006D003","Kawthoung","MMR006010","Bokpyin",5
"89","MMR111","Bago","MMR007D001","Bago","MMR007001","Bago",4
"90","MMR111","Bago","MMR007D001","Bago","MMR007002","Thanatpin",4
"91","MMR111","Bago","MMR007D001","Bago","MMR007003","Kawa",4
"92","MMR111","Bago","MMR007D001","Bago","MMR007004","Waw",5
"93","MMR111","Bago","MMR007D001","Bago","MMR007005","Nyaunglebin",4
"94","MMR111","Bago","MMR007D001","Bago","MMR007006","Kyauktaga",5
"95","MMR111","Bago","MMR007D001","Bago","MMR007007","Daik-U",4
"96","MMR111","Bago","MMR007D001","Bago","MMR007008","Shwegyin",5
"97","MMR111","Bago","MMR007D002","Taungoo","MMR007009","Taungoo",4
"98","MMR111","Bago","MMR007D002","Taungoo","MMR007010","Yedashe",4
"99","MMR111","Bago","MMR007D002","Taungoo","MMR007011","Kyaukkyi",5
"100","MMR111","Bago","MMR007D002","Taungoo","MMR007012","Phyu",5
"101","MMR111","Bago","MMR007D002","Taungoo","MMR007013","Oktwin",4
"102","MMR111","Bago","MMR007D002","Taungoo","MMR007014","Htantabin",4
"103","MMR111","Bago","MMR008D001","Pyay","MMR008001","Pyay",4
"104","MMR111","Bago","MMR008D001","Pyay","MMR008002","Paukkhaung",4
"105","MMR111","Bago","MMR008D001","Pyay","MMR008003","Padaung",4
"106","MMR111","Bago","MMR008D001","Pyay","MMR008004","Paungde",4
"107","MMR111","Bago","MMR008D001","Pyay","MMR008005","Thegon",4
"108","MMR111","Bago","MMR008D001","Pyay","MMR008006","Shwedaung",4
"109","MMR111","Bago","MMR008D002","Thayarwady","MMR008007","Thayarwady",4
